epoch,training_loss,validation_loss,mean_IoU,accuracy,dice
68,0.5078436827770174,0.443147054,0.67381,0.85479,0.79906
69,0.5102610437185525,0.44782439959437953,0.63628,0.82735,0.77019
70,0.5042885232683831,0.4623923665722427,0.61836,0.81189,0.75631
71,0.5013986403151708,0.44557471870971116,0.64194,0.82506,0.77623
72,0.512640689,0.44229364142064814,0.64816,0.82963,0.78083
73,0.5003389367051397,0.44654128196365805,0.63642,0.82189,0.77139
74,0.49624272883749887,0.4385397216588583,0.64749,0.83418,0.77918
75,0.4969401597682516,0.5219574216348322,0.56824,0.78436,0.7118
76,0.5054679563696325,0.49769152443775017,0.5824,0.78147,0.7271
77,0.5114956114611064,0.4626894212813805,0.61902,0.81765,0.75575
78,0.5067143774127943,0.4397345246625659,0.66111,0.84502,0.78964
79,0.5023098632165816,0.4504403785357009,0.65706,0.83568,0.78782
80,0.5079882740467239,0.46456546069163346,0.61551,0.81193,0.75361
81,0.5015412577718923,0.446010353,0.63513,0.826,0.7694
82,0.503426778,0.44324532106680714,0.63945,0.82624,0.7733
83,0.504345617,0.45766246245931025,0.63303,0.82994,0.76675
84,0.4961543229057969,0.4516996286161568,0.66559,0.84518,0.79372
85,0.5061328847638354,0.4688018322314905,0.6366,0.8192,0.77266
86,0.49838336634749536,0.46271462501634075,0.62381,0.82237,0.75935
87,0.5037076056074576,0.45561344439730694,0.62932,0.81668,0.76611
88,0.49248004442498017,0.4509682527783772,0.63314,0.82206,0.768
89,0.4940092120144625,0.4547440491049834,0.62708,0.8203,0.76299
90,0.49644105102412955,0.44316741540704085,0.64688,0.83161,0.77935
91,0.49764187232298945,0.450827297,0.63234,0.82549,0.76685
92,0.49600756711563015,0.4489600525399589,0.6309,0.82295,0.76603
93,0.4952796654099912,0.4500981711823007,0.63585,0.82458,0.77021
94,0.5090702823822884,0.46213597312326665,0.6746,0.85474,0.79971
95,0.499207595,0.45737845936547156,0.63819,0.82073,0.77369
96,0.48883526404042726,0.435695538,0.67986,0.85709,0.80371
97,0.5072120296977425,0.449062371,0.63589,0.82627,0.77016
98,0.49364581663057544,0.43826420439164276,0.66237,0.84194,0.79124
99,0.4935132029198156,0.4371946102980038,0.65761,0.84181,0.78691
